Наименование,Цена,Ссылка на изображение,Краткое описание
"
        ИЖ Планета
              ","
$ 454
                                                             
                                                                                   40 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/a/3/aa3ab4743a26e9a2dafa4647c28c15c9_240x180.jpg,        мотоцикл                    
"
        Honda Dio
              ","
$ 442
                                                             
                                                                                   39 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/2/d/02de6c247117269e6f0f7860eb3ba26f_240x180.jpg,        скутер                    
"
        Honda Dio
              ","
$ 692
                                                             
                                                                                   61 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/3/c/c3c9b45739d23bc23783ee3aaaf34959_240x180.jpg,        скутер                    
"
        Китай (NoName) Электроскутер
              ","
$ 681
                                                             
                                                                                   60 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/f/9/cf9f6e955b29c8c0847966311118fdfe_240x180.jpg,        скутер                    
"
        Honda CB 125
              ","
$ 794
                                                             
                                                                                   70 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/5/f/35fa8bee40a9847b55dcf3a2afda49f0_240x180.jpg,        мотоцикл                    
"
        Honda CBR 600
              ","
$ 6 666
                                                             
                                                                                   587 541 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/0/4/204804773e59c2a4ef02bd1cbe38ff05_240x180.jpg,        мотоцикл                    
"
        Daelim A-Four
              ","
$ 567
                                                             
                                                                                   50 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/0/5/c0556d08ccddcc2caa912fc93852e070_240x180.jpg,        скутер                    
"
        Kawasaki KX
              ","
$ 3 700
                                                             
                                                                                   326 118 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/9/9/a99011366616a5837a4ee3bab9f0cff0_240x180.jpg,        мотоцикл                    
"
        Honda CBR 600
              ","
$ 3 177
                                                             
                                                                                   280 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/0/5/50548f2ea7194836331bda38e9b0a7f8_240x180.jpg,        мотоцикл                    
"
        Honda XRV (Africa Twin)
              ","
$ 12 500
                                                             
                                                                                   1 101 750 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/3/8/a38bfd3e28712226f623b3364c3968ce_240x180.jpg,        мотоцикл                    
"
        Yamaha R
              ","
$ 7 100
                                                             
                                                                                   625 794 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/7/b/57be4199853528bcfaa994dda823757e_240x180.jpg,        мотоцикл                    
"
        Kawasaki Ninja
              ","
$ 7 100
                                                             
                                                                                   625 794 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/f/9/9f946c83d04eeff585710e9dc072cc5c_240x180.jpg,        мотоцикл                    
"
        Honda CBR 1000
              ","
$ 17 500
                                                             
                                                                                   1 542 450 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/1/5/115d18a2ac7570f14e5728cfb60dcd72_240x180.jpg,        мотоцикл                    
"
        Kawasaki Ninja
              ","
$ 6 250
                                                             
                                                                                   550 875 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/8/2/18259d6e93554f36b395c4aca7954354_240x180.jpg,        мотоцикл                    
"
        BMW F 850 GS
              ","
$ 2 215
                                                             
                                                                                   195 250 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/5/8/f58a83ba1700b352e2680826126db617_240x180.jpg,        мотоцикл                    
"
        Racer Pitbike
              ","
$ 1 588
                                                             
                                                                                   140 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/6/9/a697e3f6522103034c4b5d599742ff5b_240x180.jpg,        мотоцикл                    
"
        Honda Hornet
              ","
$ 5 500
                                                             
                                                                                   484 880 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/8/d/68d392d7368fc550f7432ba67f496247_240x180.jpg,        мотоцикл                    
"
        Honda CBR 600
              ","
$ 6 500
                                                             
                                                                                   572 910 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/3/5/f35782956485632cd1018ceb5b202e29_240x180.jpg,        мотоцикл                    
"
        Suzuki GSX-S 1000
              ","
$ 10 500
                                                             
                                                                                   925 470 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/0/8/d08d54c526b9ce55072215a974867c17_240x180.jpg,        мотоцикл                    
"
        Suzuki TS 200
              ","
$ 1 135
                                                             
                                                                                   100 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/8/4/e8462a797d56095eb775c784aed19e95_240x180.jpg,        мотоцикл                    
"
        Yamaha AS 3
              ","
$ 601
                                                             
                                                                                   53 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/f/e/dfe1212f3b69b31c6f6538466392a38c_240x180.jpg,        мотоцикл                    
"
        Урал М 100
              ","
$ 284
                                                             
                                                                                   25 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/f/c/2fc89688960813b504f36560f90e37a6_240x180.jpg,        мотоцикл                    
"
        Honda CBR 1000
              ","
$ 6 900
                                                             
                                                                                   608 166 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/f/2/5f214d5b9a16f106542fedbd24180ef8_240x180.jpg,        мотоцикл                    
"
        Kawasaki Z 900
              ","
$ 10 500
                                                             
                                                                                   925 470 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/9/0/79049f2ae9a4ee3dcc87cb59eb8693a6_240x180.jpg,        мотоцикл                    
"
        Jawa 350
              ","
$ 1 815
                                                             
                                                                                   160 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/8/1/b8195913dff57b935179eaa2828e1796_240x180.jpg,        мотоцикл                    
"
        Honda NT 650
              ","
$ 5 000
                                                             
                                                                                   440 700 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/5/d/65ddf9686064ae2b3b75a172bea61dcd_240x180.jpg,        мотоцикл                    
"
        Yamaha YZ 450F
              ","
$ 4 500
                                                             
                                                                                   396 630 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/2/9/1294fb02e79fc4d427f6e023209aa348_240x180.jpg,        мотоцикл                    
"
        Avantis Condor
              ","
$ 1 361
                                                             
                                                                                   120 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/c/d/ccdb91dcfa08bd4ab2b6dd0d3fc8df44_240x180.jpg,        мотоцикл                    
"
        Honda Today
              ","
$ 613
                                                             
                                                                                   54 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/9/b/a9bc9aa0429c7018724d2fe0aa9f0750_240x180.jpg,        скутер                    
"
        Suzuki Lets
              ","
$ 567
                                                             
                                                                                   50 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/b/7/7b7198b94ef104351a864d4c012248dd_240x180.jpg,        скутер                    
"
        Motoland XR (Monster)
              ","
$ 1 418
                                                             
                                                                                   125 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/6/2/362c657fcb15725b56ddf0c5a8b81f34_240x180.jpg,        мотоцикл                    
"
        Snow Hawk 500 LT
              ","
$ 5 000
                                                             
                                                                                   440 700 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/5/8/5589ee7ed7346884f555909ccf49eb70_240x180.jpg,        снегоход                      
"
        KTM 505 SX-F
              ","
$ 3 000
                                                             
                                                                                   264 420 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/9/4/69490959ccec70ff564aef05666432bc_240x180.jpg,        мотоцикл                    
"
        Zongshen CQR-250
              ","
$ 1 475
                                                             
                                                                                   130 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/8/c/e8c93d4b2c7f06449f44ae4b28d6fda8_240x180.jpg,        мотоцикл                    
"
        Geely JL125T-5C
              ","
$ 669
                                                             
                                                                                   59 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/e/3/de38dc2ff7b60fb6a20b61efa90c6871_240x180.jpg,        скутер                    
"
        Alpina Sherpa
              ","
$ 16 999
                                                             
                                                                                   1 498 292 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/0/b/c0bf48827ab1f9dfac43ada10919d0d3_240x180.jpg,        снегоход                      
"
        Stels Enduro
              ","
$ 964
                                                             
                                                                                   85 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/f/9/8f976e7b2a2bf7c7c974e81dddf92fca_240x180.jpg,        мотоцикл                    
"
        Honda Dio
              ","
$ 590
                                                             
                                                                                   52 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/b/a/6ba986940d97e2e1639dbc26cb538c05_240x180.jpg,        скутер                    
